gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,engagement_score,Class_num
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,15,16,2,20,Yes,Good,Under_7,M,13.15,1
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,20,20,3,25,Yes,Good,Under_7,M,16.94,1
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,10,7,0,30,No,Bad,Above_7,L,11.67,0
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,30,25,5,35,No,Bad,Above_7,L,23.76,0
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,40,50,12,50,No,Bad,Above_7,M,38.19,1
F,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,42,30,13,70,Yes,Bad,Above_7,M,38.99,1
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,35,12,0,17,No,Bad,Above_7,L,15.86,0
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,50,10,15,22,Yes,Good,Under_7,M,24.21,1
F,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,12,21,16,50,Yes,Good,Under_7,M,24.88,1
F,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Father,70,80,25,70,Yes,Good,Under_7,M,61.68,1
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,50,88,30,80,Yes,Good,Under_7,H,62.53,2
M,Kw,Kuwait,MiddleSchool,G-07,B,Math,F,Father,19,6,19,12,Yes,Good,Under_7,M,13.92,1
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,5,1,0,11,No,Bad,Above_7,L,4.05,0
M,Lebanon,Lebanon,MiddleSchool,G-08,A,Math,F,Father,20,14,12,19,No,Bad,Above_7,L,16.19,0
F,Kw,Kuwait,MiddleSchool,G-08,A,Math,F,Mum,62,70,44,60,No,Bad,Above_7,H,59.45,2
F,Kw,Kuwait,MiddleSchool,G-06,A,IT,F,Father,30,40,22,66,Yes,Good,Under_7,M,39.79,1
M,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Father,36,30,20,80,No,Bad,Above_7,M,41.83,1
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,55,13,35,90,No,Bad,Above_7,M,48.67,1
F,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Mum,69,15,36,96,Yes,Good,Under_7,M,54.46,1
M,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Mum,70,50,40,99,Yes,Good,Under_7,H,65.33,2
F,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,60,60,33,90,No,Bad,Above_7,M,61.27,1
F,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Father,10,12,4,80,No,Bad,Under_7,M,26.7,1
M,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,15,21,2,90,No,Bad,Under_7,M,32.27,1
M,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,2,0,2,50,No,Bad,Above_7,L,13.51,0
M,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Father,0,2,3,70,Yes,Good,Above_7,L,18.87,0
M,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,8,7,30,40,Yes,Good,Above_7,L,21.37,0
M,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Father,19,19,25,40,Yes,Bad,Under_7,M,25.87,1
M,Kw,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,25,15,12,33,No,Bad,Above_7,L,21.26,0
M,Kw,Kuwait,MiddleSchool,G-08,A,Science,F,Father,75,85,52,43,Yes,Good,Under_7,M,64.19,1
F,Kw,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,30,90,33,35,No,Bad,Under_7,M,47.32,1
F,Kw,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,35,80,50,70,Yes,Good,Under_7,H,59.31,2
M,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,4,5,40,16,Yes,Good,Above_7,L,16.29,0
F,Kw,Kuwait,lowerlevel,G-07,A,IT,F,Father,2,19,10,50,Yes,Good,Above_7,L,20.35,0
